Time,Open,High,Low,Close,Volume,Trades
1672531200,10.88,10.88,10.88,10.88,160.63669537,2
1672532100,10.87,10.88,10.85,10.88,180.83422291,5
1672533000,10.86,10.87,10.83,10.84,120.88989697,7
1672534800,10.84,10.84,10.83,10.83,829.38436701,4
1672536600,10.84,10.84,10.81,10.81,310.28588094,5
1672537500,10.82,10.83,10.82,10.83,602.85263672,8
1672538400,10.82,10.82,10.82,10.82,109.14209,2
1672539300,10.84,10.86,10.84,10.86,8.75,2
1672540200,10.86,10.86,10.86,10.86,0.5,1
1672541100,10.85,10.85,10.84,10.84,5.0,2
1672542000,10.82,10.83,10.8,10.8,244.58947277,6
1672542900,10.8,10.81,10.79,10.81,244.06803308,6
1672544700,10.8,10.8,10.8,10.8,100.0,1
1672546500,10.78,10.79,10.78,10.79,67.77300431,5
1672547400,10.77,10.77,10.75,10.75,61.29137393,5
1672548300,10.74,10.74,10.7,10.7,169.0258716,11
1672549200,10.71,10.71,10.71,10.71,0.16746,1
1672550100,10.71,10.71,10.71,10.71,37.9085,1
1672551000,10.72,10.72,10.72,10.72,0.97234512,2
1672551900,10.74,10.74,10.72,10.72,8.97943751,3
1672555500,10.76,10.76,10.76,10.76,4.57817,1
1672556400,10.73,10.73,10.71,10.71,23.5,2
1672557300,10.69,10.69,10.69,10.69,8.79582644,2
1672558200,10.69,10.69,10.69,10.69,1.1604568,2
1672559100,10.71,10.71,10.71,10.71,10.0,1
1672560000,10.69,10.69,10.67,10.67,158.36747796,5
1672560900,10.7,10.7,10.69,10.7,11.92296,3
1672561800,10.69,10.69,10.69,10.69,0.84013514,1
1672562700,10.67,10.67,10.67,10.67,10.16177968,3
1672563600,10.66,10.66,10.65,10.65,40.27110028,7
1672565400,10.69,10.69,10.69,10.69,8.33563,2
1672567200,10.68,10.68,10.68,10.68,266.19576,3
1672568100,10.67,10.69,10.67,10.69,5.99361182,2
1672570800,10.69,10.69,10.69,10.69,22.1532,1
1672571700,10.74,10.74,10.74,10.74,2.79648054,2
1672572600,10.73,10.73,10.73,10.73,0.4,1
1672573500,10.75,10.75,10.75,10.75,11.22883738,2
1672574400,10.75,10.76,10.74,10.74,954.34093434,8
1672575300,10.74,10.74,10.74,10.74,6.61803,1
1672578000,10.77,10.77,10.77,10.77,0.9285051,1
1672578900,10.75,10.75,10.75,10.75,0.88651163,1
1672579800,10.74,10.74,10.74,10.74,17.91734,2
1672580700,10.73,10.73,10.72,10.72,18.9579939,3
1672581600,10.72,10.72,10.72,10.72,0.54804,1
1672582500,10.74,10.74,10.74,10.74,9.12752,1
1672583400,10.77,10.77,10.77,10.77,16.2804322,2
1672584300,10.77,10.77,10.77,10.77,14.28784,1
1672585200,10.74,10.74,10.73,10.74,14.53854657,5
1672586100,10.73,10.74,10.73,10.73,36.43102473,5
1672587900,10.75,10.75,10.75,10.75,0.81023255,1
1672588800,10.76,10.76,10.76,10.76,7.43494423,1
1672589700,10.74,10.75,10.74,10.75,79.61325,2
1672590600,10.74,10.76,10.74,10.75,152.01498766,4
1672591500,10.76,10.77,10.75,10.77,106.92227875,9
1672592400,10.78,10.78,10.76,10.76,208.31971,4
1672593300,10.78,10.78,10.78,10.78,16.29950062,3
1672594200,10.8,10.81,10.8,10.81,3.40265981,2
1672595100,10.81,10.83,10.81,10.83,17.86250483,4
1672596000,10.85,10.86,10.85,10.86,2323.98240954,9
1672596900,10.85,10.85,10.84,10.85,219.62080175,4
1672598700,10.87,10.87,10.87,10.87,0.32573,1
1672599600,10.85,10.88,10.85,10.88,929.15034235,9
1672601400,10.88,12.04,10.86,10.93,20624.15750032,582
1672602300,10.92,12.06,10.88,10.88,21311.93814324,773
1672603200,10.89,10.92,10.89,10.92,478.81392758,3
1672604100,10.91,10.92,10.91,10.92,465.2250288,4
1672605000,10.93,10.94,10.92,10.92,535.87053777,10
1672605900,10.91,10.91,10.9,10.91,550.48115262,7
1672606800,10.88,10.88,10.86,10.86,28.50613323,10
1672607700,10.87,10.87,10.87,10.87,209.85688,1
1672608600,10.87,10.88,10.86,10.86,3405.44536937,22
1672609500,10.86,10.88,10.86,10.87,313.93581603,4
1672610400,10.87,10.87,10.86,10.86,16.80210538,4
1672611300,10.87,10.87,10.87,10.87,28.09019022,2
1672612200,10.87,10.9,10.87,10.9,1.64863,2
1672614000,10.91,10.91,10.88,10.88,75.61140978,7
1672614900,10.87,10.87,10.84,10.84,10.06721,4
1672615800,10.86,10.86,10.86,10.86,2.49166,2
1672616700,10.87,10.87,10.87,10.87,0.45118207,1
1672617600,10.86,10.87,10.85,10.85,2959.23122804,10
1672618500,10.84,10.84,10.82,10.82,33.13137158,7
1672619400,10.81,10.81,10.79,10.79,103.85258,5
1672620300,10.8,10.81,10.8,10.81,124.91187308,18
1672621200,10.78,10.78,10.71,10.71,204.54943625,21
1672622100,10.73,10.73,10.73,10.73,3.75,1
1672623000,10.76,10.76,10.75,10.76,11.37806836,3
1672623900,10.74,10.75,10.74,10.75,819.01823043,3
1672624800,10.76,10.76,10.75,10.76,185.26458,8
1672625700,10.76,10.76,10.75,10.75,155.17076,5
1672626600,10.76,10.78,10.76,10.78,1658.18551,12
1672629300,10.78,10.78,10.77,10.77,919.99902,5
1672631100,10.79,10.91,10.79,10.91,197.65191101,24
1672632000,10.85,10.95,10.85,10.85,360.34996321,23
1672632900,10.84,10.84,10.84,10.84,17.51250896,2
1672633800,10.85,10.85,10.85,10.85,3.0,1
1672635600,10.87,10.87,10.87,10.87,0.16487,1
1672637400,10.85,10.85,10.84,10.85,175.5041574,10
1672638300,10.84,10.86,10.84,10.86,2.37305,2
1672640100,10.87,10.87,10.87,10.87,237.10729,2
