Time,Open,High,Low,Close,Volume,Trades
1672531200,4.3069,4.3082,4.297,4.297,282.0290895,8
1672532100,4.298,4.3029,4.298,4.3027,9426.03765567,33
1672533000,4.3026,4.3026,4.2751,4.2798,2101.69506435,46
1672533900,4.2788,4.283,4.2788,4.283,6652.03094887,34
1672534800,4.2799,4.2799,4.2741,4.2741,9826.69740503,46
1672535700,4.2757,4.2859,4.275,4.2858,25943.66273468,125
1672536600,4.2866,4.2866,4.2814,4.2834,5765.74559257,32
1672537500,4.2881,4.2958,4.2881,4.2957,2694.50114755,15
1672538400,4.2956,4.2956,4.2892,4.2912,2547.7671637,20
1672539300,4.2985,4.3,4.2966,4.3,8196.75578787,15
1672540200,4.3,4.3005,4.299,4.299,199.57051344,7
1672541100,4.299,4.3001,4.299,4.299,777.05607419,8
1672542000,4.299,4.299,4.2932,4.2979,21808.19645184,47
1672542900,4.2951,4.3001,4.2951,4.3001,807.20310478,8
1672543800,4.2979,4.3006,4.2952,4.2952,279.42470504,9
1672544700,4.2951,4.2951,4.2951,4.2951,50.0,1
1672545600,4.2951,4.2952,4.287,4.2906,3040.57727187,22
1672546500,4.2905,4.2905,4.2853,4.2868,3438.34161106,27
1672547400,4.2862,4.2866,4.2833,4.2842,1260.96801888,13
1672548300,4.2795,4.2821,4.273,4.2782,14478.38894689,82
1672549200,4.2789,4.2802,4.2789,4.2789,190.00027058,5
1672550100,4.2821,4.2887,4.2821,4.2887,37.21101054,5
1672551000,4.2906,4.2906,4.2825,4.2826,3139.31376503,19
1672551900,4.2886,4.293,4.2886,4.2923,2896.49155309,23
1672552800,4.2919,4.2919,4.291,4.2913,230.71977066,4
1672553700,4.2926,4.2943,4.2926,4.2926,787.75554,8
1672554600,4.2978,4.2978,4.2925,4.2927,649.85035389,10
1672555500,4.2957,4.2959,4.2955,4.2955,461.10952566,8
1672556400,4.2985,4.2986,4.2936,4.2936,181.34556857,5
1672557300,4.2892,4.2893,4.2865,4.2887,7030.55399248,70
1672558200,4.29,4.29,4.29,4.29,140.0,1
1672559100,4.3004,4.3005,4.3004,4.3005,20.55192593,2
1672560000,4.3004,4.3004,4.29,4.2917,124.47799514,6
1672560900,4.2901,4.2947,4.2901,4.2933,209.82933175,6
1672562700,4.2893,4.2899,4.2893,4.2899,62.84250645,3
1672564500,4.2882,4.2985,4.2882,4.2985,750.22690836,8
1672565400,4.3008,4.3027,4.2993,4.3027,445.56197153,5
1672566300,4.3019,4.3152,4.3013,4.3122,856.88539414,27
1672567200,4.3123,4.3126,4.307,4.3084,11.39,10
1672568100,4.309,4.3122,4.3082,4.3082,554.96133584,11
1672569000,4.3077,4.3129,4.3077,4.3129,445.419,6
1672569900,4.3137,4.3549,4.3137,4.3398,253292.5161437597,345
1672570800,4.3388,4.3418,4.3319,4.3358,5802.74167844,179
1672571700,4.3351,4.3352,4.3301,4.3339,2233.20928,65
1672572600,4.3309,4.3319,4.3301,4.3319,72.77118921,5
1672573500,4.331,4.331,4.3301,4.3307,181.47276557,8
1672574400,4.3361,4.3361,4.3334,4.3337,2003.47555615,52
1672575300,4.3378,4.3378,4.3328,4.3328,23.76730363,3
1672576200,4.331,4.331,4.33,4.33,2335.50295793,4
1672577100,4.3315,4.3323,4.3271,4.3271,983.45907953,9
1672578000,4.3308,4.3322,4.3308,4.3322,1218.25211026,11
1672578900,4.3305,4.3305,4.3261,4.3262,422.40463151,14
1672579800,4.3267,4.3267,4.3219,4.3219,8716.97313113,23
1672580700,4.3179,4.318,4.3179,4.318,348.78103801,7
1672581600,4.3241,4.3243,4.3241,4.3243,136.08821372,2
1672582500,4.3248,4.3248,4.3248,4.3248,0.2894497,1
1672583400,4.3282,4.3296,4.3282,4.3284,243.01319455,4
1672584300,4.3253,4.3254,4.3226,4.3226,419.20837578,9
1672585200,4.324,4.3249,4.324,4.3244,244.5074446,4
1672586100,4.3263,4.3263,4.325,4.325,24.61130286,3
1672587000,4.3285,4.3363,4.3285,4.3363,17.14151992,4
1672587900,4.3368,4.3375,4.3326,4.3352,1763.43151319,11
1672588800,4.3386,4.3391,4.3321,4.335,3627.93474393,39
1672589700,4.334,4.3389,4.3329,4.3389,4374.89177877,19
1672590600,4.3382,4.3404,4.3339,4.3339,2107.76297449,26
1672591500,4.3358,4.3396,4.3358,4.3383,2148.60713013,11
1672592400,4.339,4.3427,4.339,4.3406,237.46326535,6
1672593300,4.3457,4.3535,4.3457,4.3489,1021.77967992,25
1672594200,4.3515,4.3515,4.3515,4.3515,7.86027997,1
1672595100,4.3526,4.3574,4.3504,4.3574,170.66006129,9
1672596000,4.3607,4.3632,4.3607,4.3627,1937.6672879,24
1672596900,4.3613,4.3658,4.3613,4.3645,1318.32650681,10
1672597800,4.3661,4.3688,4.3653,4.3665,157.61033537,12
1672598700,4.3631,4.3632,4.3598,4.3617,216.77964041,8
1672599600,4.3668,4.3725,4.3668,4.3725,93.79026006,5
1672600500,4.3735,4.3735,4.3628,4.3628,1474.509,19
1672601400,4.3689,4.3689,4.3622,4.3685,79.73277254,3
1672602300,4.3613,4.3613,4.3491,4.3548,2158.62408463,25
1672603200,4.3576,4.3576,4.3563,4.3563,55.22287333,6
1672604100,4.3642,4.3642,4.3593,4.3593,143.00482353,5
1672605000,4.3668,4.3751,4.3668,4.375,3434.26724024,25
1672605900,4.3656,4.3672,4.3655,4.3671,1024.36886295,8
1672606800,4.3695,4.3695,4.3615,4.3616,2033.81728916,17
1672607700,4.3631,4.3688,4.3631,4.3668,374.81078457,9
1672608600,4.3669,4.3792,4.3669,4.3779,206.02372693,16
1672609500,4.3774,4.3834,4.3774,4.3804,304.12284425,20
1672610400,4.3785,4.3789,4.3733,4.3733,23.15163787,5
1672611300,4.3714,4.3729,4.3713,4.372,149.26680246,6
1672612200,4.3723,4.3729,4.3716,4.3729,2106.80376044,12
1672613100,4.3788,4.3789,4.3788,4.3788,119.44909997,5
1672614000,4.3712,4.3787,4.3712,4.3787,232.1012076,10
1672614900,4.3715,4.3752,4.3641,4.3641,1193.37436205,10
1672615800,4.3648,4.3705,4.3648,4.3699,3100.49858916,36
1672616700,4.3673,4.3674,4.365,4.365,20.62745692,3
1672617600,4.3766,4.3766,4.3647,4.3647,138.53899546,12
1672618500,4.3628,4.3628,4.3591,4.3591,67.37921555,3
1672619400,4.362,4.363,4.3539,4.3539,4479.0566436,30
1672620300,4.3576,4.3576,4.3449,4.3449,139.48259875,4
1672621200,4.3411,4.3411,4.3183,4.3302,7656.52837389,45
1672622100,4.3245,4.3406,4.3245,4.3406,45.08252769,3
1672623000,4.3355,4.3437,4.3355,4.3437,979.12994843,6
1672623900,4.3438,4.3438,4.3402,4.3402,335.43786972,4
1672624800,4.336,4.344,4.336,4.344,46.94690924,3
1672625700,4.3447,4.3521,4.3447,4.3511,195.20254608,6
1672626600,4.3524,4.394,4.3524,4.381,3165.50897506,55
1672627500,4.3888,4.3888,4.3802,4.3805,148.51727565,7
1672628400,4.371,4.3988,4.3693,4.3875,584.247315,15
1672629300,4.3949,4.4123,4.3949,4.4106,2346.95528394,31
1672630200,4.4103,4.4362,4.4103,4.4286,7725.77123191,85
1672631100,4.429,4.4476,4.4255,4.4395,11400.62612804,62
