Time,Open,High,Low,Close,Volume,Trades
1672531200,9.97,10.0,9.95,9.95,1527.64987763,15
1672532100,9.95,10.02,9.93,10.02,3590.67144152,28
1672533000,9.99,9.99,9.94,9.94,1122.37517762,26
1672533900,9.95,10.0,9.94,9.99,3164.91248948,37
1672534800,9.99,10.07,9.98,10.02,2186.49656133,51
1672535700,10.03,10.05,10.02,10.04,2935.38784319,40
1672536600,10.05,10.06,10.04,10.04,276.9790208,24
1672537500,10.04,10.04,10.02,10.02,1572.45183311,13
1672538400,10.02,10.06,10.0,10.05,4422.15475242,39
1672539300,10.07,10.07,10.03,10.03,864.82942618,12
1672540200,10.06,10.07,10.03,10.03,667.17374667,26
1672541100,10.03,10.03,10.0,10.02,1377.91589454,18
1672542000,10.0,10.0,9.94,9.94,3618.62813291,43
1672542900,9.95,9.97,9.91,9.97,540.72827717,27
1672543800,9.96,9.96,9.94,9.96,2893.34423915,39
1672544700,9.95,9.98,9.93,9.96,1670.93097521,29
1672545600,9.96,9.96,9.89,9.89,4874.13801584,49
1672546500,9.89,9.89,9.84,9.88,3141.04414921,56
1672547400,9.88,9.88,9.84,9.86,8647.68739492,27
1672548300,9.84,9.85,9.82,9.82,5223.51606911,27
1672549200,9.82,9.84,9.82,9.82,7506.88207003,51
1672550100,9.81,9.82,9.73,9.78,12163.82797837,110
1672551000,9.78,9.78,9.72,9.72,1376.52932501,33
1672551900,9.73,9.8,9.73,9.79,3249.80996325,32
1672552800,9.79,9.83,9.79,9.81,4271.13103596,59
1672553700,9.81,9.82,9.78,9.8,2685.80046299,29
1672554600,9.8,9.81,9.78,9.81,2300.25935245,17
1672555500,9.79,9.8,9.77,9.78,1929.47422664,22
1672556400,9.78,9.79,9.75,9.77,1260.46108906,32
1672557300,9.76,9.77,9.7,9.72,10042.2982937,46
1672558200,9.73,9.78,9.73,9.78,2170.5892543,20
1672559100,9.77,9.78,9.77,9.77,3701.10149428,32
1672560000,9.77,9.79,9.76,9.76,99.05909305,8
1672560900,9.75,9.75,9.71,9.72,24242.8268292,143
1672561800,9.73,9.73,9.69,9.71,17077.06119873,97
1672562700,9.72,9.73,9.72,9.72,487.13662365,7
1672563600,9.73,9.75,9.73,9.73,962.87818247,8
1672564500,9.76,9.77,9.75,9.77,1688.95061746,21
1672565400,9.77,9.78,9.76,9.77,1301.37370406,21
1672566300,9.78,9.78,9.77,9.78,2468.2335548,17
1672567200,9.79,9.8,9.79,9.8,955.87136447,18
1672568100,9.79,9.79,9.79,9.79,512.16829859,7
1672569000,9.79,9.79,9.77,9.77,979.58317048,15
1672569900,9.78,9.8,9.78,9.79,1850.6591636,12
1672570800,9.79,9.92,9.79,9.92,7215.88273347,77
1672571700,9.92,9.96,9.9,9.91,628.212555,40
1672572600,9.9,9.96,9.9,9.95,4328.3151632,43
1672573500,9.92,9.93,9.91,9.93,67.39272313,8
1672574400,9.92,9.92,9.9,9.92,77.1090595,11
1672575300,9.91,9.93,9.91,9.91,3028.41592138,25
1672576200,9.92,9.92,9.9,9.92,2418.61670182,23
1672577100,9.92,9.95,9.92,9.95,1044.41855227,17
1672578000,9.94,9.95,9.92,9.93,386.54883355,10
1672578900,9.93,9.93,9.9,9.91,564.91455197,11
1672579800,9.9,9.91,9.86,9.86,1553.99621681,30
1672580700,9.85,9.85,9.84,9.85,351.33375457,22
1672581600,9.87,9.88,9.87,9.87,52.89554481,6
1672582500,9.89,9.89,9.89,9.89,38.88969331,5
1672583400,9.89,9.89,9.85,9.85,522.50340844,27
1672584300,9.86,9.86,9.83,9.84,288.80102527,22
1672585200,9.84,9.85,9.84,9.84,749.02812514,13
1672586100,9.85,9.85,9.82,9.82,85.47130469,21
1672587000,9.83,9.85,9.82,9.84,3225.19786032,27
1672587900,9.85,9.85,9.8,9.85,1023.79055829,43
1672588800,9.86,9.88,9.86,9.86,658.82163904,16
1672589700,9.87,9.88,9.83,9.88,3304.87690616,30
1672590600,9.89,9.91,9.87,9.88,749.45177515,17
1672591500,9.87,9.88,9.86,9.87,222.98910612,9
1672592400,9.87,9.92,9.87,9.91,177.00046526,14
1672593300,9.91,9.96,9.9,9.96,1565.75896973,30
1672594200,9.93,9.93,9.91,9.92,570.76682435,13
1672595100,9.93,9.96,9.91,9.96,7294.54024339,45
1672596000,9.96,10.02,9.96,10.01,2826.00603123,42
1672596900,10.01,10.02,9.98,10.0,1653.99557405,50
1672597800,9.99,10.02,9.99,10.01,403.12109474,16
1672598700,10.01,10.01,9.97,9.99,863.56770465,15
1672599600,10.0,10.02,10.0,10.02,1434.60050714,27
1672600500,10.02,10.04,9.98,10.01,738.16310408,26
1672601400,10.03,10.03,9.99,9.99,520.3183548,10
1672602300,9.98,9.98,9.95,9.95,1247.30538061,24
1672603200,9.97,9.98,9.94,9.98,19746.98622018,90
1672604100,9.99,10.01,9.98,10.01,940.61390278,18
1672605000,10.02,10.03,10.01,10.03,273.11088663,10
1672605900,10.0,10.0,9.98,9.98,242.78837782,5
1672606800,9.99,9.99,9.94,9.98,866.10887459,19
1672607700,9.98,9.99,9.97,9.98,1995.45263864,18
1672608600,9.98,9.99,9.97,9.97,162.18217194,9
1672609500,9.96,9.97,9.96,9.97,410.61762729,12
1672610400,9.99,10.0,9.97,10.0,871.38993894,18
1672611300,9.99,10.0,9.97,9.97,2339.42485827,27
1672612200,9.98,9.99,9.98,9.99,23.04276,10
1672613100,9.99,10.01,9.98,9.99,2805.6744284,43
1672614000,9.99,10.05,9.99,10.04,1194.55823816,25
1672614900,10.02,10.03,9.97,9.97,2328.00945769,46
1672615800,9.97,10.0,9.97,9.98,693.85940408,14
1672616700,9.98,10.0,9.95,10.0,1030.12683932,23
1672617600,9.99,9.99,9.93,9.94,867.63544637,46
1672618500,9.93,9.93,9.9,9.9,1359.15907314,74
1672619400,9.9,9.91,9.87,9.9,984.29505959,49
1672620300,9.91,9.92,9.9,9.9,541.92245142,14
1672621200,9.9,9.93,9.86,9.86,2465.19255285,58
1672622100,9.85,9.87,9.81,9.87,5687.33214826,63
1672623000,9.86,9.87,9.86,9.86,748.76396734,11
1672623900,9.85,9.87,9.84,9.84,291.92705724,12
1672624800,9.84,9.88,9.82,9.88,2753.07854935,15
1672625700,9.88,9.89,9.85,9.86,1445.56004815,25
1672626600,9.87,9.92,9.87,9.92,5639.53036542,39
1672627500,9.92,9.93,9.91,9.91,126.29189766,10
1672628400,9.93,9.94,9.92,9.92,2365.93778633,66
1672629300,9.92,9.92,9.91,9.91,551.49984122,6
1672630200,9.91,9.97,9.9,9.93,7955.46783649,57
1672631100,9.94,10.02,9.94,9.99,9035.94323617,155
1672632000,10.0,10.04,9.96,9.97,1823.69623568,45
1672632900,9.97,9.97,9.96,9.97,475.02832352,11
1672633800,9.97,10.0,9.97,9.97,21640.26335929,113
1672634700,9.96,9.99,9.96,9.97,2855.02097626,32
1672635600,9.98,9.99,9.95,9.95,1667.34705695,28
1672636500,9.96,9.98,9.94,9.98,910.42169,24
1672637400,9.98,9.98,9.94,9.96,1160.070834,21
1672638300,9.97,10.0,9.97,9.98,2199.25173158,74
1672639200,9.99,10.01,9.98,10.0,2238.45943928,28
1672640100,9.98,10.01,9.98,9.99,3200.395,27
1672641000,9.99,9.99,9.95,9.97,964.88645763,30
1672641900,9.96,9.99,9.96,9.99,277.27761,6
1672642800,10.0,12.01,10.0,11.95,54379.54042197,1075
1672643700,11.95,12.0,10.86,11.04,51317.9219809299,1296
1672644600,11.01,11.18,10.93,11.06,24474.79682314,477
1672645500,11.06,11.13,10.99,11.09,17361.51204143,237
1672646400,11.09,11.35,11.01,11.23,23326.16473178,401
1672647300,11.24,11.35,11.17,11.27,12662.87691997,235
1672648200,11.27,11.35,11.21,11.22,7378.06004711,160
1672649100,11.24,11.24,11.17,11.19,9176.25405493,114
1672650000,11.19,11.19,11.06,11.06,15021.15964447,195
1672650900,11.06,11.14,11.04,11.14,806.1091979,35
1672651800,11.14,11.24,11.12,11.14,2407.25476213,73
1672652700,11.16,11.17,11.13,11.16,636.62428179,27
1672653600,11.14,11.14,10.84,11.07,23324.30356527,340
1672654500,11.05,11.05,10.96,10.99,3381.43595349,91
1672655400,10.99,11.02,10.95,10.98,2920.74946075,92
1672656300,10.97,11.06,10.96,11.06,5296.23457652,80
1672657200,11.05,11.05,10.99,11.02,2151.86054329,182
1672658100,11.02,11.02,10.96,10.97,1408.21146403,51
1672659000,10.99,10.99,10.92,10.99,3336.30208294,70
1672659900,10.99,11.03,10.99,11.01,5977.69166898,51
1672660800,11.04,11.04,11.01,11.01,680.75234922,27
1672661700,11.03,11.2,11.03,11.11,28875.82674831,229
1672662600,11.11,11.21,11.1,11.14,7643.24682352,118
1672663500,11.11,11.12,11.08,11.1,2764.39908945,51
1672664400,11.1,11.15,11.06,11.06,7571.30522871,82
1672665300,11.07,11.14,11.07,11.14,4135.89361348,55
1672666200,11.12,11.13,11.06,11.06,3241.18424303,45
1672667100,11.06,11.11,11.06,11.11,8331.41322883,69
1672668000,11.11,11.15,11.11,11.15,1010.96836603,48
1672668900,11.13,11.18,11.13,11.18,4593.5468265,46
1672669800,11.17,11.17,11.1,11.15,1298.62667711,42
1672670700,11.12,11.13,11.09,11.13,2609.06247058,48
1672671600,11.13,11.13,11.07,11.09,7733.62354275,80
1672672500,11.1,11.15,11.1,11.15,3399.95049671,31
1672673400,11.14,11.22,11.14,11.17,13833.83952777,139
1672674300,11.18,11.18,11.11,11.12,2497.34713205,48
1672675200,11.12,11.14,11.1,11.14,841.79528698,27
1672676100,11.13,11.14,11.12,11.12,1998.81145484,46
1672677000,11.14,11.17,11.14,11.17,967.99611275,22
1672677900,11.17,11.18,11.1,11.11,1573.02967308,38
1672678800,11.12,11.12,11.08,11.11,621.67596832,36
1672679700,11.13,11.16,11.13,11.15,1146.04740675,24
1672680600,11.16,11.16,11.13,11.15,2640.5562347,30
1672681500,11.15,11.15,11.14,11.14,345.85204283,19
1672682400,11.14,11.19,11.14,11.17,3508.90743928,57
1672683300,11.17,11.2,11.15,11.17,3343.58200285,26
1672684200,11.15,11.15,11.13,11.15,4133.69915267,20
1672685100,11.16,11.16,11.15,11.15,212.55555338,24
1672686000,11.15,11.15,11.12,11.13,866.37976418,15
1672686900,11.14,11.15,11.12,11.12,1021.16930699,21
1672687800,11.14,11.16,11.14,11.16,4544.75849258,23
1672688700,11.16,11.45,11.16,11.25,39269.41022759,304
1672689600,11.25,11.25,11.2,11.22,3697.27478684,69
1672690500,11.22,11.29,11.21,11.28,1611.29891271,17
1672691400,11.28,11.34,11.25,11.34,5885.1085247,93
1672692300,11.32,11.33,11.29,11.32,6420.12159419,57
1672693200,11.33,11.4,11.33,11.33,6152.32858687,117
1672694100,11.32,11.32,11.29,11.3,1961.95036456,36
1672695000,11.32,11.35,11.31,11.32,2323.52213465,33
1672695900,11.33,11.42,11.31,11.37,6185.29128253,77
1672696800,11.37,11.38,11.32,11.34,1870.42221296,90
1672697700,11.36,11.4,11.29,11.3,5788.39380283,112
1672698600,11.3,11.3,11.25,11.26,1720.1326605,66
1672699500,11.28,11.29,11.27,11.29,1043.70911758,17
1672700400,11.28,11.31,11.26,11.28,5047.57582223,32
1672701300,11.29,11.33,11.29,11.31,2063.22596698,29
1672702200,11.33,11.33,11.28,11.33,1101.736613,30
1672703100,11.33,11.33,11.26,11.27,964.00334285,36
1672704000,11.29,11.29,11.2,11.29,6451.17277572,102
1672704900,11.29,11.35,11.25,11.25,11985.9808071,310
1672705800,11.26,11.33,11.25,11.31,1374.5991386,28
1672706700,11.32,11.32,11.31,11.31,545.81668704,15
1672707600,11.3,11.32,11.24,11.24,1342.18905311,33
1672708500,11.25,11.25,11.09,11.1,7534.47318069,170
1672709400,11.1,11.16,11.08,11.15,2260.2402792,50
1672710300,11.15,11.15,11.02,11.08,4425.37084438,95
1672711200,11.08,11.13,11.08,11.13,804.6234741,29
1672712100,11.14,11.15,11.11,11.11,4682.51588819,48
1672713000,11.12,11.15,11.11,11.15,1616.6611158,14
1672713900,11.15,11.17,11.14,11.14,3323.41148956,24
1672714800,11.13,11.13,11.09,11.09,1450.01015393,28
1672715700,11.09,11.16,11.08,11.16,9553.28789231,65
1672716600,11.15,11.2,11.15,11.2,652.44527759,15
1672717500,11.2,11.23,11.2,11.23,1132.02772163,31
1672718400,11.21,11.28,11.21,11.26,805.77090954,36
1672719300,11.26,11.28,11.22,11.25,2547.72238022,58
1672720200,11.25,11.26,11.23,11.26,1026.38920428,36
1672721100,11.24,11.36,11.23,11.28,6605.95491667,119
1672722000,11.29,11.48,11.29,11.47,5762.77094271,214
1672722900,11.47,11.78,11.47,11.66,21991.25986159,577
1672723800,11.66,11.78,11.6,11.74,8948.37261065,146
1672724700,11.74,11.78,11.69,11.78,2547.25213671,62
1672725600,11.78,11.86,11.75,11.79,3103.1396614,163
1672726500,11.78,12.0,11.72,12.0,28444.50695592,325
1672727400,12.0,12.02,11.77,11.9,22986.23604834,346
1672728300,11.87,11.89,11.73,11.76,8081.69268072,182
1672729200,11.77,11.84,11.74,11.84,7680.7656833,97
1672730100,11.85,11.88,11.81,11.83,7407.56875905,100
1672731000,11.83,11.93,11.82,11.9,2577.05925886,81
1672731900,11.91,11.96,11.91,11.93,2105.00235745,49
1672732800,11.93,11.99,11.81,11.82,5175.39560971,170
1672733700,11.83,11.85,11.78,11.78,463.44071978,36
1672734600,11.8,11.8,11.71,11.71,7690.7384987,92
1672735500,11.71,11.77,11.71,11.76,11927.42466788,102
1672736400,11.77,11.81,11.77,11.79,2337.90038254,24
1672737300,11.8,11.82,11.74,11.74,358.84578608,26
1672738200,11.73,11.81,11.73,11.81,1821.13720901,31
1672739100,11.81,11.86,11.8,11.83,4819.29392955,115
1672740000,11.85,11.89,11.82,11.82,5171.058659,74
1672740900,11.82,11.87,11.82,11.86,1443.22365296,29
1672741800,11.87,11.93,11.85,11.92,3388.22968147,64
1672742700,11.92,11.92,11.87,11.87,2376.34581425,96
1672743600,11.9,11.95,11.89,11.95,3861.96882757,99
1672744500,11.95,11.98,11.92,11.96,2562.87300202,59
1672745400,11.96,12.0,11.88,11.88,12973.96829546,201
1672746300,11.87,11.92,11.83,11.86,2662.71445713,78
1672747200,11.86,11.87,11.86,11.86,2580.27203632,27
1672748100,11.82,11.85,11.8,11.82,2518.09634599,49
1672749000,11.83,11.85,11.82,11.85,970.46900275,19
1672749900,11.86,11.87,11.79,11.82,24319.88128376,221
1672750800,11.83,11.9,11.83,11.9,15939.91455512,94
1672751700,11.88,11.93,11.88,11.9,11530.88474436,207
1672752600,11.9,11.96,11.87,11.96,4821.79534905,98
1672753500,11.94,12.07,11.93,12.0,14782.29747453,194
1672754400,12.03,12.45,12.02,12.4,37463.0156883,603
1672755300,12.39,12.44,12.24,12.44,26555.01741922,523
1672756200,12.45,12.62,12.4,12.49,32975.986291,479
1672757100,12.49,12.5,12.22,12.24,26672.99653549,580
1672758000,12.27,12.69,12.25,12.66,34996.62133337,506
1672758900,12.66,12.87,12.57,12.81,26223.89563665,690
1672759800,12.8,12.95,12.71,12.95,18946.65807853,440
1672760700,12.95,13.24,12.92,13.07,43225.00039823,784
1672761600,13.07,13.89,12.89,13.48,121698.6266082399,1339
1672762500,13.49,13.49,13.31,13.35,43711.74250394,443
1672763400,13.33,13.44,13.18,13.38,16019.27202073,268
1672764300,13.37,13.42,13.08,13.11,34989.85606501,411
1672765200,13.1,13.26,13.09,13.18,17652.33737606,167
1672766100,13.19,13.2,12.94,12.94,18520.84745495,328
1672767000,12.94,12.98,12.83,12.84,21016.69138033,270
1672767900,12.84,12.89,12.76,12.87,15630.01635635,223
1672768800,12.86,12.97,12.71,12.74,25643.82084454,297
1672769700,12.71,12.84,12.71,12.84,5885.24057315,109
1672770600,12.84,12.9,12.83,12.85,4915.99815652,66
1672771500,12.84,12.92,12.79,12.89,3692.36729379,63
1672772400,12.9,12.98,12.87,12.93,5125.55181565,105
1672773300,12.95,13.14,12.93,13.06,11678.71095546,210
1672774200,13.06,13.07,12.86,12.89,5860.89573881,127
1672775100,12.9,12.98,12.9,12.94,3685.08646367,57
1672776000,12.94,13.06,12.94,13.02,3603.58279939,86
1672776900,13.04,13.09,12.98,13.08,3338.81295143,63
1672777800,13.09,13.19,13.08,13.15,7260.2533183,126
1672778700,13.14,13.14,13.04,13.08,4184.76556466,70
1672779600,13.09,13.1,12.99,13.03,1387.40318794,41
1672780500,13.06,13.17,13.06,13.12,1967.85341834,75
1672781400,13.13,13.32,13.09,13.25,8759.69770109,176
1672782300,13.23,13.34,13.22,13.27,18367.80742388,218
1672783200,13.26,13.38,13.14,13.16,4477.79054418,211
1672784100,13.16,13.27,13.08,13.26,13163.68812578,191
1672785000,13.26,13.3,13.19,13.21,9725.68731672,101
1672785900,13.19,13.47,13.19,13.33,5461.20573774,178
1672786800,13.33,13.34,13.27,13.33,1511.68797694,54
1672787700,13.27,13.33,13.26,13.31,2082.46280942,45
1672788600,13.32,13.34,13.26,13.29,5652.36819915,86
1672789500,13.29,13.4,13.28,13.38,9713.96341915,138
1672790400,13.33,13.48,13.23,13.43,17533.24816208,272
1672791300,13.43,13.82,13.43,13.77,30990.29222719,477
1672792200,13.77,13.86,13.68,13.68,54659.01913546,427
1672793100,13.68,13.68,13.53,13.58,24572.09993857,320
1672794000,13.59,13.72,13.41,13.66,19333.08017135,316
1672794900,13.67,13.76,13.59,13.64,10631.78293104,162
1672795800,13.63,13.69,13.59,13.67,7852.84062942,138
1672796700,13.69,13.7,13.63,13.69,3759.48876436,67
1672797600,13.69,13.95,13.69,13.83,45890.08401502,408
1672798500,13.81,13.9,13.78,13.79,2377.58832491,76
1672799400,13.83,14.0,13.83,13.97,10369.02410329,182
1672800300,13.96,13.96,13.74,13.8,3844.67430686,135
1672801200,13.81,14.04,13.73,13.9,17604.64137351,365
1672802100,13.86,13.9,13.77,13.84,8214.83757757,139
1672803000,13.85,13.85,13.56,13.56,17881.59303177,265
1672803900,13.55,13.63,13.5,13.6,9046.71117492,194
1672804800,13.59,13.6,13.29,13.35,14898.13952697,277
1672805700,13.37,13.44,13.35,13.37,7920.6905202,159
1672806600,13.36,13.5,13.36,13.5,2681.20868349,98
1672807500,13.47,13.51,13.38,13.41,1981.08133551,77
1672808400,13.41,13.43,13.39,13.43,725.94032267,26
1672809300,13.45,13.59,13.45,13.57,4198.37498711,105
1672810200,13.56,13.63,13.54,13.62,2622.1667661,89
1672811100,13.61,13.71,13.58,13.69,5548.68829853,114
1672812000,13.71,13.72,13.65,13.72,3091.7236117,84
1672812900,13.73,13.83,13.73,13.83,2716.33236093,105
1672813800,13.85,13.89,13.74,13.85,2557.4805181,126
1672814700,13.87,13.98,13.87,13.97,3277.45562488,149
1672815600,13.98,14.16,13.87,13.89,9986.87201331,302
